to_IUCN	PopId	RefID	Year	TaxaClass	Family	Genus	Species	G_s	Common	Continent	Country	Location	n	FST	GlobalFST	Min.Distance	Max.Distance	Mean.Distance	N.Population	Ho	He	MNA	AR	Lat	Long	Msats	row_id	taxonid	scientific_name	kingdom	phylum	class	order	family	genus	category	population_trend	marine_system	freshwater_system	terrestrial_system	rlcat	meanGD	num_indiv	IUCN_fact	IUCN_binary
Accipiter cooperii	8863	R1231	2015	Aves	Accipitridae	Accipiter	cooperii	Accipiter_cooperii	Cooper's Hawk	NAm	USA	Stevens Point	217	NA	NA	Inf	0	NA	1	0.688111111	0.762111111	9	NA	44.544	-89.56	9	5929	22695656	Accipiter cooperii	ANIMALIA	CHORDATA	AVES	ACCIPITRIFORMES	ACCIPITRIDAE	Accipiter	LC	Increasing	FALSE	FALSE	TRUE	LC	0.762111111	217	1	0
Accipiter gentilis	9004	R1280	2005	Aves	Accipitridae	Accipiter	gentilis	Accipiter_gentilis	Northern Goshawk	NAm	USA	Kaibab Plateau	69	NA	NA	Inf	0	NA	1	0.722	0.814	10.4	NA	36.584	-112.166	5	6098	22695683	Accipiter gentilis	ANIMALIA	CHORDATA	AVES	ACCIPITRIFORMES	ACCIPITRIDAE	Accipiter	LC	Unknown	FALSE	FALSE	TRUE	LC	0.4651	401	1	0
Adenomera andreae	5526	R637	2012	Amphibia	Leptodactylidae	Adenomera	andreae	Adenomera_andreae	Andre's lowland bullfrog 	SAm	GUF	NON4	84	0.053870833	Population	810.2669525	71311.98959	22919.81048	9	0.693	0.734	9.638888889	NA	4.035	-52.692	12	1911	56304	Adenomera andreae	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	LEPTODACTYLIDAE	Adenomera	LC	Stable	FALSE	FALSE	TRUE	LC	0.699857142857143	221	1	0
Aegolius funereus	8670	R1130	2007	Aves	Strigidae	Aegolius	funereus	Aegolius_funereus	North American Boreal Owl	NAm	USA	MT	275	0.004	NA	140747.9213	3111809.634	1468257.891	8	0.47875	0.50125	6	NA	44.496	-112.927	15	5565	22689362	Aegolius funereus	ANIMALIA	CHORDATA	AVES	STRIGIFORMES	STRIGIDAE	Aegolius	LC	Stable	FALSE	FALSE	TRUE	LC	0.4991964285	550	1	0
Agalychnis callidryas	5178	R534	2009	Amphibia	Hylidae	Agalychnis	callidryas	Agalychnis_callidryas	Red-eyed tree frog	CAm	CRI	Carara	30	0.167	Population	28487.65376	564768.0358	214581.3245	36	NA	0.824	NA	NA	9.725	-84.531	6	1486	55290	Agalychnis callidryas	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	PHYLLOMEDUSIDAE	Agalychnis	LC	Decreasing	FALSE	TRUE	TRUE	LC	0.824	514	1	0
Agelaioides badius	8511	R1070	2017	Aves	Icteridae	Agelaioides	badius	Agelaioides_badius	Grayish Baywing	SAm	ARG	Reserva El Destino	191	NA	NA	Inf	0	NA	1	0.748571429	0.760571429	17	NA	-35.134	-57.387	7	5311	103794964	Agelaioides badius	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	ICTERIDAE	Agelaioides	LC	Stable	FALSE	FALSE	TRUE	LC	0.760571429	191	1	0
Agkistrodon contortrix	6416	R702	2016	Reptilia	Viperidae	Agkistrodon	contortrix	Agkistrodon_contortrix	Copperhead	NAm	USA	Central Connecticut River valley	100	NA	NA	Inf	0	NA	1	0.63	0.62	6.1	NA	41.567	-72.763	22	3016	64297	Agkistrodon contortrix	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Agkistrodon	LC	Stable	FALSE	FALSE	TRUE	LC	0.62	100	1	0
Alces alces	6935	R811	2013	Mammalia	Cervidae	Alces	alces	Alces_alces	Moose	NAm	USA	GUST	81	0.1347	Population	44484.36794	853450.9834	226542.1043	12	0.503	0.489	4.62	3.18	58.441	-135.849	14	3590	56003281	Alces alces	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Alces	LC	Increasing	FALSE	FALSE	TRUE	LC	0.509617647058824	900	1	0
Alectrurus risora	8539	R1081	2015	Aves	Tyrannidae	Alectrurus	risora	Alectrurus_risora	Strange-tailed Tyrant	SAm	ARG	Ibera wetlands	69	0.01	Population	1240593.423	1281920.568	1264433.202	4	0.37375	0.4054375	3.6875	NA	-28.333	-57.372	8	5364	22700303	Alectrurus risora	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	TYRANNIDAE	Alectrurus	VU	Decreasing	FALSE	TRUE	TRUE	VU	0.4054375	69	3	1
Alle alle	8882	R1242	2014	Aves	Alcidae	Alle	alle	Alle_alle	The little auk	NAm	USA	Alaska	7	0.013125	Population	Inf	0	NA	1	0.78	0.765	5.85	5.685	71.325	-99.36	6	5948	22694837	Alle alle	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	ALCIDAE	Alle	LC	Decreasing	TRUE	FALSE	TRUE	LC	0.765	7	1	0
Alligator mississippiensis	4086	R375	2002	Reptilia	Alligatoridae	Alligator	mississippiensis	Alligator_mississippiensis	American alligator	NAm	USA	Lake Woodruff	58	0.0994	Population	48209.2696	1284770.248	572399.797	12	0.738	0.712	9.1	NA	29.101	-81.45	8	5	46583	Alligator mississippiensis	ANIMALIA	CHORDATA	REPTILIA	CROCODYLIA	ALLIGATORIDAE	Alligator	LC	Increasing	FALSE	TRUE	TRUE	LC	0.696777777777778	570	1	0
Allobates femoralis	4409	R413	2008	Amphibia	Aromobatidae	Allobates	femoralis	Allobates_femoralis	Brilliantthighed poison frog 	SAm	BRA	Treviso, Santa Catarina State	24	NA	NA	Inf	0	NA	1	0.745	0.772	10.8	NA	-3.153	-54.842	10	479	55038	Allobates femoralis	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	LC	Stable	FALSE	TRUE	TRUE	LC	0.772	24	1	0
Alouatta belzebul	6566	R725	2010	Mammalia	Atelidae	Alouatta	belzebul	Alouatta_belzebul	Red-handed howler	SAm	BRA	RB02	15	NA	NA	50796.45396	50796.45396	50796.45396	3	0.62	0.78	8.4	6.26	-3.872	-49.658	15	3186	39957	Alouatta belzebul	ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	ATELIDAE	Alouatta	VU	Decreasing	FALSE	FALSE	TRUE	VU	0.8195	82	3	1
Alouatta caraya	6577	R731	2010	Mammalia	Atelidae	Alouatta	caraya	Alouatta_caraya	Black-and-gold howler monkey	SAm	ARG	Corrientes Biological Field Station	50	0.139	Population	22805.70345	22805.70345	22805.70345	2	0.498	0.5	4.727	NA	-27.5	-58.683	11	3197	41545	Alouatta caraya	ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	ATELIDAE	Alouatta	NT	Decreasing	FALSE	FALSE	TRUE	NT	0.570666666666667	144	2	0
Alouatta palliata	6572	R727	2006	Mammalia	Atelidae	Alouatta	palliata	Alouatta_palliata	Mexican mantled	NAm	MEX	Vera Cruz	8	0.28	Population	423778.8917	2864282.702	1525634.169	4	0.14	0.14	1.6	NA	18.511	-92.031	8	3192	39960	Alouatta palliata	ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	ATELIDAE	Alouatta	VU	Decreasing	FALSE	FALSE	TRUE	VU	0.2765	215	3	1
Alouatta pigra	6569	R727	2006	Mammalia	Atelidae	Alouatta	pigra	Alouatta_pigra	Guatemalan Black howler	CAm	BLZ	Bermuda Landing	28	0.443	Population	423778.8917	2459405.739	1253629.014	4	0.45	0.5	3.8	NA	16.279	-88.799	8	3189	914	Alouatta pigra	ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	ATELIDAE	Alouatta	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.536	77	4	1
Alouatta seniculus	6570	R727	2006	Mammalia	Atelidae	Alouatta	seniculus	Alouatta_seniculus	Red Howler	SAm	VEN	Hato Masaguaral	6	0.443	Population	1814674.596	2864282.702	2379454.346	4	0.56	0.65	4.3	NA	8.567	-67.575	8	3190	198676562	Alouatta seniculus	ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	ATELIDAE	Alouatta	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.65	6	1	0
Amazona auropalliata	9010	R1283	2005	Aves	Psittacidae	Amazona	auropalliata	Amazona_auropalliata	yellow-naped amazon	CAm	CRI	Costa Rica	75	0.006	Population	Inf	0	NA	1	0.59	0.62	9.6	NA	10.585	-85.465	8	6104	22686342	Amazona auropalliata	ANIMALIA	CHORDATA	AVES	PSITTACIFORMES	PSITTACIDAE	Amazona	CR	Decreasing	FALSE	FALSE	TRUE	CR	0.62	75	5	1
Amazona farinosa	9060	R1302	2008	Aves	Psittacidae	Amazona	farinosa	Amazona_farinosa	Mealy Parrot	SAm	PER	Tambopata Research Center	24	NA	NA	Inf	0	NA	1	0.6925	0.755	11.4375	NA	-13.134	-69.611	17	6166	45430572	Amazona farinosa	ANIMALIA	CHORDATA	AVES	PSITTACIFORMES	PSITTACIDAE	Amazona	NT	Decreasing	FALSE	FALSE	TRUE	NT	0.755	24	2	0
Amazona leucocephala	9094	R564	2010	Aves	Psittacidae	Amazona	leucocephala	Amazona_leucocephala	Bahama parrot	Carr	BHS	Great Inagua	25	0.22	Population	696745.4708	696745.4708	696745.4708	2	0.69	0.71	5.3	NA	21.134	-73.412	11	6211	22686201	Amazona leucocephala	ANIMALIA	CHORDATA	AVES	PSITTACIFORMES	PSITTACIDAE	Amazona	NT	Decreasing	FALSE	FALSE	TRUE	NT	0.61	63	2	0
Amazona vittata	8874	R1237	2014	Aves	Psittacidae	Amazona	vittata	Amazona_vittata	Puerto rican parrot	Carr	PRI	El Yunque National Forest	17	NA	NA	Inf	0	NA	1	0.712333333	0.679	3.388888889	NA	18.296	-65.799	11	5940	22686239	Amazona vittata	ANIMALIA	CHORDATA	AVES	PSITTACIFORMES	PSITTACIDAE	Amazona	CR	Increasing	FALSE	FALSE	TRUE	CR	0.679	17	5	1
Amblyrhynchus cristatus	5333	R547	2010	Reptilia	Iguanidae	Amblyrhynchus	cristatus	Amblyrhynchus_cristatus	Galapogas marine iguana	SAm	ECU	San CristobalLoveria	83	0.1154	Population	51376.66434	107847.3848	80129.60813	4	NA	NA	NA	NA	-0.933	-89.6	13	1674	1086	Amblyrhynchus cristatus	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	IGUANIDAE	Amblyrhynchus	VU	Decreasing	TRUE	FALSE	TRUE	VU	0.803333333333333	1664	3	1
Ambystoma californiense	4313	R406	2014	Amphibia	Ambystomatidae	Ambystoma	californiense	Ambystoma_californiense	California tiger salamander	NAm	USA	Los Vaqueros 11	14	0.0986	Population	3115.129999	8193.510322	6090.777192	16	NA	NA	NA	NA	37.82	-121.689	9	330	1098	Ambystoma californiense	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	AMBYSTOMATIDAE	Ambystoma	VU	Decreasing	FALSE	TRUE	TRUE	VU	0.808	427	3	1
Ambystoma gracile	4155	R387	2008	Amphibia	Ambystomatidae	Ambystoma	gracile	Ambystoma_gracile	Northwestern Salamander	NAm	USA	Mount St Helens	266	NA	NA	Inf	0	NA	2	0.812	0.887	15.6	NA	46.291	-122.283	4	70	59057	Ambystoma gracile	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	AMBYSTOMATIDAE	Ambystoma	LC	Stable	FALSE	TRUE	TRUE	LC	0.887	266	1	0
Ambystoma leorae	4302	R234	2014	Amphibia	Ambystomatidae	Ambystoma	leorae	Ambystoma_leorae	Lenora's Stream Salamander	NAm	MEX	Iztaccihuatl-Popocatepetl National Park D4	79	0.0165	Population	237.9695673	70385.00032	23893.73037	6	0.62	0.67	5	NA	19.143	-98.601	9	316	59061	Ambystoma leorae	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	AMBYSTOMATIDAE	Ambystoma	CR	Decreasing	FALSE	TRUE	TRUE	CR	0.6115	264	5	1
Ambystoma macrodactylum	4172	R391	2007	Amphibia	Ambystomatidae	Ambystoma	macrodactylum	Ambystoma_macrodactylum	Long-toed Salamander	NAm	USA	TBP	252	0.0801	Population	1852.039514	471915.4787	272021.3943	20	NA	0.662	NA	5.208	48.221	-115.856	7	92	59063	Ambystoma macrodactylum	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	AMBYSTOMATIDAE	Ambystoma	LC	Stable	FALSE	TRUE	TRUE	LC	0.589576271186441	2029	1	0
Ambystoma maculatum	4180	R394	2015	Amphibia	Ambystomatidae	Ambystoma	maculatum	Ambystoma_maculatum	Spotted Salamander	NAm	USA	Hill Cemetary	58	0.151	Population	8290.655372	305688.6118	140864.3638	19	0.706	0.711	NA	6.429	37.599	-88.277	7	122	59064	Ambystoma maculatum	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	AMBYSTOMATIDAE	Ambystoma	LC	Stable	FALSE	TRUE	TRUE	LC	0.688986111111111	4050	1	0
Ambystoma opacum	4174	R393	2009	Amphibia	Ambystomatidae	Ambystoma	opacum	Ambystoma_opacum	Marbled salamander	NAm	USA	L	409	0.0581	Population	2177.319571	57488.49441	19214.87609	22	0.781	0.781	21.333	NA	39.099	-81.962	9	102	59065	Ambystoma opacum	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	AMBYSTOMATIDAE	Ambystoma	LC	Stable	FALSE	TRUE	TRUE	LC	0.734029411764706	1901	1	0
Ambystoma talpoideum	4160	R390	2006	Amphibia	Ambystomatidae	Ambystoma	talpoideum	Ambystoma_talpoideum	Mole salamander	NAm	USA	Aiken County	14	NA	NA	Inf	0	NA	2	0.508	0.686	7	NA	33.54	-81.667	12	75	59069	Ambystoma talpoideum	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	AMBYSTOMATIDAE	Ambystoma	LC	Stable	FALSE	TRUE	TRUE	LC	0.686	14	1	0
Ambystoma texanum	4207	R397	2011	Amphibia	Ambystomatidae	Ambystoma	texanum	Ambystoma_texanum	Small mouthed salamander	NAm	USA	Ha3L1	120	0.0148	Population	477.8685843	19291.72881	5054.986009	7	0.569	0.791	10.383	NA	40.565	-83.616	8	209	59071	Ambystoma texanum	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	AMBYSTOMATIDAE	Ambystoma	LC	Stable	FALSE	TRUE	TRUE	LC	0.81	160	1	0
