SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS,IUCN,IUCN_fact,IUCN_bin,IUCN_cr.en_1,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,category,population_trend,marine_system,freshwater_system,terrestrial_system
Aceros corrugatus,0.013363213,187,0,6,NT,2,0,0,22682514,Rhabdotorrhinus corrugatus,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhabdotorrhinus,EN,Decreasing,FALSE,FALSE,TRUE
Aceros undulatus,0.021828683,415,0,7,LC,1,0,0,22682528,Rhyticeros undulatus,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhyticeros,VU,Decreasing,FALSE,FALSE,TRUE
Acrocephalus aequinoctialis,0.001836553,23,0,6,EN,4,1,1,22714802,Acrocephalus aequinoctialis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,EN,Decreasing,FALSE,FALSE,TRUE
Acrocephalus agricola,0.006434597,6514,368,50,LC,1,0,0,22714714,Acrocephalus agricola,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Decreasing,FALSE,TRUE,TRUE
Acrocephalus arundinaceus,0.004294648,43,16,7,LC,1,0,0,104317670,Acrocephalus arundinaceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Decreasing,FALSE,TRUE,TRUE
Acrocephalus australis,0.00393354,233,24,13,LC,1,0,0,22714763,Acrocephalus australis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus baeticatus,0.009324518,2039,42,24,LC,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus bistrigiceps,0.015900406,551,14,10,LC,1,0,0,22714709,Acrocephalus bistrigiceps,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus brevipennis,0.0029558,585,0,20,VU,3,1,0,22714852,Acrocephalus brevipennis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,VU,Unknown,FALSE,TRUE,TRUE
Acrocephalus concinens,0.003882724,54,0,6,LC,1,0,0,22714719,Acrocephalus concinens,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus dumetorum,0.006125876,172,214,18,LC,1,0,0,22714736,Acrocephalus dumetorum,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Increasing,FALSE,TRUE,TRUE
Acrocephalus familiaris,0.000892,1375,0,74,CR,5,1,1,22714797,Acrocephalus familiaris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,CR,Stable,FALSE,FALSE,TRUE
Acrocephalus gracilirostris,0.016106062,593,32,11,LC,1,0,0,22714859,Acrocephalus gracilirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,TRUE,TRUE,TRUE
Acrocephalus melanopogon,0.01398708,960,24,13,LC,1,0,0,22714693,Acrocephalus melanopogon,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus mendanae,0.020588812,5872,0,26,LC,1,0,0,104012371,Acrocephalus mendanae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,FALSE,TRUE
Acrocephalus newtoni,0.006445902,41,24,8,LC,1,0,0,22714865,Acrocephalus newtoni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus palustris,0.002764014,2810,110,52,LC,1,0,0,22714741,Acrocephalus palustris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus rufescens,0.0090766,341,0,9,LC,1,0,0,22714846,Acrocephalus rufescens,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus schoenobaenus,0.004386294,167,48,12,LC,1,0,0,22714700,Acrocephalus schoenobaenus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus scirpaceus,0.013348519,97696,268,134,LC,1,0,0,22714722,Acrocephalus scirpaceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus stentoreus,0.022131313,1234,0,12,LC,1,0,0,22714751,Acrocephalus stentoreus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Actinodura egertoni,0.003390277,58,0,6,LC,1,0,0,22716557,Actinodura egertoni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LEIOTRICHIDAE,Actinodura,LC,Decreasing,FALSE,FALSE,TRUE
Adelomyia melanogenys,0.051714398,35165,0,35,LC,1,0,0,22687696,Adelomyia melanogenys,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Adelomyia,LC,Unknown,FALSE,FALSE,TRUE
Aegithalos caudatus,0.007301462,60895,0,134,LC,1,0,0,103871923,Aegithalos caudatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,LC,Stable,FALSE,TRUE,TRUE
Aegithalos concinnus,0.015393069,380804,0,230,LC,1,0,0,103870880,Aegithalos concinnus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,LC,Stable,FALSE,FALSE,TRUE
Aegithalos fuliginosus,0.000216,144,0,39,LC,1,0,0,22712024,Aegithalos fuliginosus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,LC,Stable,FALSE,FALSE,TRUE
Aegolius acadicus,0.001364361,1797,106,54,LC,1,0,0,22689366,Aegolius acadicus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Aegolius,LC,Decreasing,FALSE,FALSE,TRUE
Aegolius funereus,0.006328416,142,174,17,LC,1,0,0,22689362,Aegolius funereus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Aegolius,LC,Stable,FALSE,FALSE,TRUE
Aegotheles bennettii,0.037688709,551,48,11,LC,1,0,0,60814475,Aegotheles bennettii,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,AEGOTHELIDAE,Aegotheles,LC,Stable,FALSE,FALSE,TRUE
Aegotheles cristatus,0.004937713,36,16,6,LC,1,0,0,22689555,Aegotheles cristatus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,AEGOTHELIDAE,Aegotheles,LC,Stable,FALSE,TRUE,TRUE
Aegypius monachus,0.016604156,4033,160,42,NT,2,0,0,22695231,Aegypius monachus,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aegypius,NT,Decreasing,FALSE,FALSE,TRUE
Agelaius phoeniceus,0.008354552,627,26,14,LC,1,0,0,22724191,Agelaius phoeniceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelaius,LC,Decreasing,FALSE,TRUE,TRUE
Ailuroedus buccoides,0.012877208,463,0,10,LC,1,0,0,22703618,Ailuroedus buccoides,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PTILONORHYNCHIDAE,Ailuroedus,LC,Decreasing,FALSE,FALSE,TRUE
Ailuroedus crassirostris,0.009086738,201,0,8,LC,1,0,0,22703624,Ailuroedus crassirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PTILONORHYNCHIDAE,Ailuroedus,LC,Decreasing,FALSE,FALSE,TRUE
Ailuroedus melanotis,0.01163359,976,0,15,LC,1,0,0,22703621,Ailuroedus melanotis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PTILONORHYNCHIDAE,Ailuroedus,LC,Decreasing,FALSE,FALSE,TRUE
Aimophila botterii,0.00501592,3551,176,48,LC,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila cassinii,0.001455166,28,0,8,LC,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaemon alaudipes,0.025794108,380,0,6,LC,1,0,0,22717262,Alaemon alaudipes,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Alaemon,LC,Decreasing,FALSE,FALSE,TRUE
Alcippe chrysotis,0.034435454,445,0,6,LC,1,0,0,22716585,Lioparus chrysotis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARADOXORNITHIDAE,Lioparus,LC,Decreasing,FALSE,FALSE,TRUE
Alcippe cinerea,0.025200113,305,0,6,LC,1,0,0,22716593,Schoeniparus cinereus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PELLORNEIDAE,Schoeniparus,LC,Decreasing,FALSE,FALSE,TRUE
Alcippe cinereiceps,0.040660626,430,0,6,LC,1,0,0,22735182,Fulvetta cinereiceps,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARADOXORNITHIDAE,Fulvetta,LC,Unknown,FALSE,FALSE,TRUE
Alcippe dubia,0.054608685,886,12,8,LC,1,0,0,22716627,Schoeniparus dubius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PELLORNEIDAE,Schoeniparus,LC,Decreasing,FALSE,FALSE,TRUE
Alcippe morrisonia,0.003426301,234,0,15,LC,1,0,0,22716644,Alcippe morrisonia,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALCIPPEIDAE,Alcippe,LC,Unknown,FALSE,FALSE,TRUE
