to_IUCN,genus.x,species,He,mean_Ne,pres_hab,past_hab,iucn,mass,diet,gen_time,row_id,taxonid,scientific_name,kingdom,phylum,class,order,family,genus.y,category,population_trend,marine_system,freshwater_system,terrestrial_system,IUCN_fact,IUCN_binary
Acanthisitta chloris,Acanthisitta,chloris,0.001663,13.9228,2.6393,4.8744,LC,6.5,Invertebrate,2,1,22698577,Acanthisitta chloris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHISITTIDAE,Acanthisitta,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Anas zonorhyncha,Anas,zonorhyncha,0.0066335,57.5529,159.5686,187.0022,LC,1163,PlantSeed,2,2,22736042,Anas zonorhyncha,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,LC,Decreasing,FALSE,TRUE,TRUE,1,0
Anser brachyrhynchus,Anser,brachyrhynchus,0.0048232,59.3109,2.2532,15.021,LC,2707.5,PlantSeed,6,3,22679872,Anser brachyrhynchus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,LC,Increasing,TRUE,TRUE,TRUE,1,0
Anser cygnoides,Anser,cygnoides,0.0036039,90.1526,106.9815,399.9967,VU,3475,PlantSeed,6,4,22679869,Anser cygnoid,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,VU,Decreasing,TRUE,TRUE,TRUE,3,1
Anser indicus,Anser,indicus,0.0018431,12.629,129.8709,231.3022,LC,2413.75,PlantSeed,6,5,22679893,Anser indicus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,LC,Decreasing,FALSE,TRUE,TRUE,1,0
Antrostomus carolinensis,Antrostomus,carolinensis,0.0060096,56.3531,112.5455,107.5927,NT,115,Invertebrate,2,6,22689778,Antrostomus carolinensis,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Antrostomus,NT,Decreasing,FALSE,FALSE,TRUE,2,0
Apaloderma vittatum,Apaloderma,vittatum,0.0024,30.0705,18.1701,199.4949,LC,55,Invertebrate,7.3,7,22682723,Apaloderma vittatum,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Apaloderma,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Apteryx australis,Apteryx,australis,0.0016137,6.2127,0.8482,2.3529,VU,2600,Invertebrate,5.5,8,22678122,Apteryx australis,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,VU,Decreasing,FALSE,FALSE,TRUE,3,1
Apteryx haastii,Apteryx,haastii,0.0008079,1.4573,0.9147,10.3323,VU,2409,Invertebrate,6,9,22678132,Apteryx haastii,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,VU,Decreasing,FALSE,FALSE,TRUE,3,1
Athene cunicularia,Athene,cunicularia,0.0019055,53.3007,719.6431,1373.1352,LC,150.6,VertFishScav,2,10,22689353,Athene cunicularia,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,LC,Decreasing,FALSE,FALSE,TRUE,1,0
